X,Y,Z,start,end
118549.76162601374,130473.62633593478,14326.691069226847,2020-12-20T11:51:15.000000000,2020-12-20T12:46:18.076022500
65121.599705299814,122460.16256228722,-29214.697878439005,2020-12-21T17:46:23.987890500,2020-12-21T18:46:23.987890500
61688.760578629175,119730.10051222115,-30324.277756553074,2020-12-21T18:46:23.987890500,2020-12-21T19:46:23.987890500
58130.53219369668,116770.35728760736,-31374.168374666056,2020-12-21T19:46:23.987890500,2020-12-21T20:46:23.987890500
54506.19416789779,113622.48364073836,-32341.176798139586,2020-12-21T20:46:23.987890500,2020-12-21T21:44:25.000000000
40962.666258953584,100679.21914494135,-35053.31157243762,2020-12-22T00:31:05.000000000,2020-12-22T00:47:10.000000000
38937.875490851344,98579.79855706712,-35334.20432239253,2020-12-22T01:03:15.000000000,2020-12-22T01:12:15.000000000
76732.1939823792,33438.139616825356,39497.63888248622,2020-12-22T22:12:20.000000000,2020-12-22T22:16:20.000000000
91376.77275427557,50287.754004359085,39457.07488032915,2020-12-23T00:58:30.000000000,2020-12-23T01:58:30.000000000
114712.82270011932,89369.50150179124,29775.960587813923,2020-12-23T01:58:30.000000000,2020-12-23T02:58:30.000000000
98590.56119965475,59668.9751936143,38599.02539559715,2020-12-23T02:58:30.000000000,2020-12-23T03:58:30.000000000
101768.49640313486,64090.6190527286,37994.694138152314,2020-12-23T03:58:30.000000000,2020-12-23T04:58:30.000000000
104690.53213081494,68342.66751652595,37292.22135835743,2020-12-23T04:58:30.000000000,2020-12-23T05:58:30.000000000
107374.97869375347,72431.52068584185,36502.73596804367,2020-12-23T05:58:30.000000000,2020-12-23T06:58:30.000000000
109837.54684910813,76362.94606093098,35635.643390560406,2020-12-23T06:58:30.000000000,2020-12-23T07:58:30.000000000
112091.82811131702,80142.13920399344,34698.97759874808,2020-12-23T07:58:30.000000000,2020-12-23T08:58:30.000000000
114149.66091601616,83773.78357243745,33699.67044466389,2020-12-23T08:58:30.000000000,2020-12-23T09:58:30.000000000
116021.42265871858,87262.10040974562,32643.75571455133,2020-12-23T09:58:30.000000000,2020-12-23T10:58:30.000000000
117716.25792247835,90610.89433367847,31536.52580938966,2020-12-23T10:58:30.000000000,2020-12-23T11:58:30.000000000
119242.25970896182,93823.59486666365,30382.66012892259,2020-12-23T11:58:30.000000000,2020-12-23T12:58:30.000000000
120606.62947404233,96903.28851431952,29186.32813808815,2020-12-23T12:58:30.000000000,2020-12-23T13:58:30.000000000
121815.78674137263,99852.75221473213,27951.265260355194,2020-12-23T13:58:30.000000000,2020-12-23T14:58:30.000000000
122875.47486063889,102674.47865003599,26680.84298835019,2020-12-23T14:58:30.000000000,2020-12-23T15:58:30.000000000
123790.84856125475,105370.6976654376,25378.119495732975,2020-12-23T15:58:30.000000000,2020-12-23T16:58:30.000000000
124566.54133572157,107943.39639091589,24045.88716131732,2020-12-23T16:58:30.000000000,2020-12-23T17:58:30.000000000
125206.71590334462,110394.33957872131,22686.709693731613,2020-12-23T17:58:30.000000000,2020-12-23T18:58:30.000000000
125715.1268433503,112725.07877449879,21302.950687447246,2020-12-23T18:58:30.000000000,2020-12-23T19:58:30.000000000
126095.15895803325,114936.96878597162,19896.806902063658,2020-12-23T19:58:30.000000000,2020-12-23T20:58:30.000000000
